comparison,p_value,active_features,active_group
MIDN_vs_MYD88,9.51909885944528e-07,ABCF1/ARF4/ARID1B/ASAP1/ATP1B3/ATP2A2/CCNI/CD40/CD70/CELF2/CKLF/CPNE8/DIAPH1/FXYD5/GDF15/GPNMB/IKZF1/IL1A/IRF2BP2/LAT2/MANF/METRNL/NCKAP1L/NECTIN2/OSGIN2/PAIP1/PNP/RASSF5/RBM23/SLC39A7/TYMP/XBP1/YWHAQ,12/15/17/23
XPR1_vs_MYD88,6.07606011876874e-15,ANKRD11/ATP13A3/ATP6V1E1/CFLAR/CHMP3/CHMP4B/CLIC4/COL6A1/DPP7/EIF4G3/ENG/GNS/HGSNAT/KCNQ4/M6PR/MFSD1/NAPRT/PAIP1/PLEKHB2/PSMD1/RAB10/RBM23/RFLNB/SLC3A2/TMEM165/TMEM256/USF2/VPS26A/WASF2/XBP1,2/12/14/39
TYK2_vs_MYD88,5.86188745226742e-07,CD47/PLSCR1,6/31
CYLD_vs_MYD88,8.06582782785643e-16,ADRM1/CDC42SE1/CHMP3/CHMP4B/COPRS/CYTH2/DENND4A/EIF5/GRB2/LAMP1/M6PR/MED13/MFSD1/MOB1A/NAPRT/NCBP2/NDFIP1/NRDC/NUCB1/PLEKHB2/POLR2I/PSD3/PSMD1/RAB10/RASGEF1B/RNF7/TIPRL/TMEM165/TRIP12/UFD1,2/18/24
ADO_vs_MYD88,0.0726169990889804,"",""
PGM3_vs_MYD88,0.0138873188721458,"",""
MAPK1_vs_MYD88,7.68575101273981e-11,APBB1IP/ARF4/CYTH2/DENND4A/EIF5/FXYD5/HEXB/ITGB5/NDFIP1/NME4/NUCB1/NUDT14/PFKP/PLEKHO1/PRKAR2A/RASGEF1B/SDC4/STARD4/TFRC/TIPRL/TPI1/TRAF1/UXS1/ZC3H12A/ZYX,7/10/11/13/18/23
TLR2_vs_MYD88,1.82523495787517e-05,ACTR3/APBB1IP/CD99/ERBIN/ITGB5/PDLIM7/PRKAR2A/PTPN12/TNS3/TPRA1/YWHAG,""
STK11_vs_MYD88,7.93586710055055e-11,ADAM10/APBB1IP/CD99/CPM/ERBIN/ITGB5/PDLIM7/PPP1CB/PRKAR2A/PTPN12/SPN/TNS3/TPRA1/YWHAG/ZYX,13/20
SEPHS2_vs_MYD88,4.50166207575499e-05,ATG12/C5AR2/CELF1/IFNAR1/LITAF/PTGER4/RAC2/SELENOW/STIP1/STMP1/TNIP1,6
STAT2_vs_MYD88,4.89888655035608e-05,ASS1/ATG12/C5AR2/CD47/CSNK1A1/EPSTI1/GBP2/MRPL15/NMI/NUB1/OAS2/PHACTR4/PJA2/PLCG2/PLD4/PLSCR1/RAB1A/RAC2/SAMHD1/SELENOW/SMARCA5/STIP1/TNIP1,6/31
MAP3K7_vs_MYD88,3.31635504870808e-05,"",""
