comparison,p_value,active_features,active_group
KIDINS220_vs_MAP2K2,0.335089659765037,AKR1A1/ATP5PO/CMPK1/COPRS/HEXA/KYNU/MAP2K2/NDUFA12/NDUFAF3/NME4/PGD/RNF11/RPL26L1/SCP2/TMEM141/UQCRC2,11/24
MAP2K1_vs_MAP2K2,0.588278313343629,ARHGAP10/ARHGAP26/CYTH2/DENND4A/GRB2/NUCB1,18
YEATS4_vs_MAP2K2,0.790808929122999,"",""
ATXN7L3_vs_MAP2K2,0.243214703620479,"",""
AHR_vs_MAP2K2,0.0387412178778761,CCPG1/CD276/CMPK1/EBI3/EIF4G3/ERP29/GPBP1/GPNMB/HDGF/HEXA/HSPH1/IRF2BP2/KYNU/LMO2/LPL/MSRA/PFKP/PGD/RUNX3/SCP2/SERTAD2/SH3BGRL/SWAP70/SYF2/TNFRSF9,3/11/12
PRDM1_vs_MAP2K2,0.956482844917275,"",""
TNFAIP3_vs_MAP2K2,0.173887270990563,ANKH/ANKRD11/CFLAR/CLIC4/COL6A1/CRTAP/EIF4G3/GPNMB/HDAC9/KCNQ4/KRT10/MYH9/PDLIM5/PRDX4/QKI/RCN1/RFLNB/SELENOF/SWAP70/WASF2,12/14
JUNB_vs_MAP2K2,0.0180368491834391,ARHGAP10/ARHGAP26/AZIN1/CYTH2/DENND4A/GRB2/NDFIP1/PSD3,18/19
TIRAP_vs_MAP2K2,0.365920764304661,"",""
TRIB1_vs_MAP2K2,0.0158664080536223,AFF4/AKIRIN1/BAZ1A/GDF15/GPSM3/IL1A/LACTB/LYRM4/PTP4A1,15/20
PICALM_vs_MAP2K2,0.375774748560465,AKIRIN1/EIF3F/GPSM3/LYRM4/PTP4A1/STK10,20
EHMT2_vs_MAP2K2,0.263281788093647,ADGRE5/ANPEP/AP1B1/ARL8B/ATP6V1B2/ATP6V1E1/CHMP3/CPQ/CTSA/DYNC1H1/GNAI3/MAP1LC3B/MFSD10/NAPRT/PECAM1/PLD3/PLEKHB2/RAB13/RAB5C/SLC3A2/SNX2/SNX6/TCIRG1/VAPA,2
STAT1_vs_MAP2K2,0.895300702782611,"",""
RELA_vs_MAP2K2,0.317648806027525,AIF1/ARGLU1/ARID4B/ATF4/CCPG1/CD276/CNN2/EBI3/EDF1/EIF4G3/GPBP1/GPNMB/HDGF/HIVEP3/HSPH1/JAK1/LMO2/MAML2/MED28/NCOA7/POU2F2/PTPN12/RIF1/RUNX3/SH3BGRL/SWAP70/SYF2/TNFRSF9/TNS3,3/12/13
TLR1_vs_MAP2K2,0.0941883706425064,ARGLU1/ARHGAP10/ARHGAP26/ARID4B/ATF4/CCPG1/CYTH2/FOXP1/GPBP1/HDGF/HIVEP3/LMO2/NCOA7/NUCB1/POU2F2/RLF/RUNX3/SERTAD2/SYF2/UXT,3/18
CEBPG_vs_MAP2K2,0.981386738026793,"",""
IRAK1_vs_MAP2K2,0.374231283771046,B4GALT5/HOOK3/IL1A/ITGA6/LACTB/LST1/SKIL,""
DNTTIP1_vs_MAP2K2,0.786668423117583,"",""
HSP90B1_vs_MAP2K2,0.0177825440052043,ABHD17A/AFF4/AKIRIN1/AKR1A1/ANKH/AP3D1/CFLAR/CMPK1/CNN2/CRTAP/ERP29/GDF15/HDAC9/HEXA/IL1A/KCNQ4/KCTD20/KPNA4/KRT10/KYNU/LACTB/LPL/LYST/METRNL/NCOA4/OSBPL8/PCM1/PDIA4/PDLIM5/PFKP/PGD/PRDX4/QKI/RCN1/RFLNB/SCPEP1/SELENOF/SMS/TNPO1/UHMK1/WASF2,5/11/13/14/15/20
IRAK4_vs_MAP2K2,0.000585893993533231,AFF4/AIF1/APOE/ATF4/B4GALT5/BMP8B/CCPG1/CD70/CFLAR/CNN2/CRTAP/ENG/GDF15/GPBP1/HDAC9/HDGF/HOOK3/IL1A/ITGA6/KCNQ4/KRT10/LACTB/LMO2/LST1/MANF/MBNL1/METRNL/MYH9/PDLIM5/PRDX4/QKI/RCN1/RFLNB/RUNX3/SERTAD2/SKIL/STAT3/SYF2/USP9X/UXT/WASF2/YWHAG,3/10/13/14/15
TRAF6_vs_MAP2K2,0.0123082100458703,ABHD17A/ANKH/AP3D1/ARF6/CFLAR/CHTOP/CLIC4/COL6A1/CRTAP/ENG/GOLGB1/HDAC9/KCNQ4/KPNA4/KRT10/LYST/MYH9/NCOA4/PDIA4/PDLIM5/PRDX4/QKI/RCN1/RFLNB/SELENOF/WASF2,5/14
IKBKB_vs_MAP2K2,0.00568522304455806,APOC1/ARID4B/AZIN1/CCPG1/CNPY2/CRTAP/EIF6/GPBP1/HDAC9/HDGF/HIVEP3/JUN/KCNQ4/KDELR2/KRT10/LMO2/MYH9/NDUFA2/PBX3/PDLIM5/POU2F2/PRDX4/PSME1/QKI/RAB5IF/RCN1/RUNX3/SERTAD2/SYF2/TMEM219/TRAPPC2L/UBA1/UXT/WASF2/ZBTB10/ZFAND5,3/14/19/38
RNF31_vs_MAP2K2,0.371027102493018,ARHGAP26/CFLAR/CRTAP/CYTH2/HDAC9/KCNQ4/KRT10/MYH9/PDLIM5/PRDX4/RCN1/WASF2,14/18
MEF2C_vs_MAP2K2,0.121744015278525,AFF4/AGO2/AKR1A1/ATF5/AZIN1/B4GALT5/EIF4A3/EIF4E/FMNL3/GDF15/HOOK3/IL1A/ITGA6/KYNU/LACTB/LRP12/LST1/MBNL1/METRNL/NCAM1/PFKP/PGD/PPP3CA/SDC4/SKIL/USP9X,10/11/15/19
SBDS_vs_MAP2K2,0.379652472800131,"",""
CSNK1A1_vs_MAP2K2,0.0693265746628641,AGO2/ATF4/ATF5/B4GALT5/CCPG1/CD276/CRTAP/DYNC1H1/EIF4A3/EIF4E/EIF4G3/ELL2/FMNL3/GNAI3/GPBP1/GPNMB/HDAC9/HDGF/HIVEP3/HOOK3/IER5/ITGA6/KCNQ4/KRT10/LMO2/LST1/MEIS2/MYCBP2/NCAM1/PDLIM5/POU2F2/PPP3CA/PRDX4/PTBP3/QKI/RAB5C/RCN1/RIF1/RUNX3/SDC4/SERTAD2/SKIL/SLC3A2/SNX6/STAT3/SWAP70/TNFRSF9/USP9X/UXT/WASF2,2/3/10/12/14
ARPC4_vs_MAP2K2,0.928274845524104,"",""
PPP2R1A_vs_MAP2K2,0.829953836023717,ANKH/C19orf53/CAPZB/CCT7/CFLAR/CLIC4/COL6A1/CRTAP/HDAC9/KCNQ4/KRT10/MYH9/NDUFAF8/PDLIM5/PRDX4/QKI/RCN1/RFLNB/SELENOF/SRM/SSB/WASF2,14/34
MIDN_vs_MAP2K2,0.66986406194149,"",""
XPR1_vs_MAP2K2,0.503955048987131,HDAC9/KCNQ4/KRT10/PDLIM5/PRDX4/QKI/RCN1/SELENOF/WASF2,14
TYK2_vs_MAP2K2,0.883163241514582,ASS1/GNAI3/RAB1A/SMARCA5,2/6
CYLD_vs_MAP2K2,0.434532681772077,ARHGAP10/ARHGAP26/CYTH2/DENND4A/GRB2/MAP2K2,18/24
ADO_vs_MAP2K2,0.965836694926423,"",""
PGM3_vs_MAP2K2,0.0134434123728956,C1orf43/CHURC1/EIF4A2/LSM1/MRPS18C/NDUFB7/NDUFB8/NDUFC1/NDUFC2/NDUFS2/PDAP1/PGLS/RER1/RSRC1/SF3B1/SLTM/SNF8/THOC2/ZCRB1/ZMAT2,29
MAPK1_vs_MAP2K2,0.00238413180761149,AGO2/AKR1A1/ARHGAP10/ARHGAP26/B4GALT5/CMPK1/CYTH2/DCP1A/DENND3/DENND4A/EIF4A3/EIF4E/ERP29/FXYD5/GRB2/HEXA/HOOK3/ITGA6/KCTD20/KYNU/LPL/LST1/MBNL1/NCAM1/PFKP/PGD/SCP2/SKIL,10/11/18/23
TLR2_vs_MAP2K2,0.0419158968114983,"",""
STK11_vs_MAP2K2,0.675100279142635,"",""
SEPHS2_vs_MAP2K2,0.058144391290876,AKIRIN1/BAZ1A/EIF4G3/GPNMB/GPSM3/HSPH1/JAK1/LCP2/PTP4A1/SH3BGRL/SWAP70/TNFRSF9,12/20
STAT2_vs_MAP2K2,0.27660476310077,"",""
MAP3K7_vs_MAP2K2,0.389157744712463,"",""
RAB5C_vs_MAP2K2,0.40022816208479,"",""
ALG2_vs_MAP2K2,0.670591922833394,"",""
MYD88_vs_DNTTIP1,2.11241570178091e-07,ARID5B/KRT10/PDLIM5/PRDX4/RFLNB,14
IKBKG_vs_DNTTIP1,4.98646062078111e-06,ACOX1/AFF4/AP3B1/ARF6/CD70/CLEC11A/CMPK1/FERMT3/GDF15/HEXB/IST1/JMJD1C/LDHB/MANF/METRNL/MPC2/MYL9/NME4/OSGIN2/RAB8B/SRP19/STARD4/TYMP/UXS1,""
TAB1_vs_DNTTIP1,0.103409659030737,ILF3/TYMS/YWHAH,""
IFNAR1_vs_DNTTIP1,2.30267783191641e-07,CD47/HMGB3/IFNAR1/LGALS9/MX2/NMI/PJA2/PLD4/PTPN1/RNF5/SELENOW/SMARCA5/STIP1/STMP1/TOP2A,6/31/32
TXNDC17_vs_DNTTIP1,0.667603326198952,"",""
FLI1_vs_DNTTIP1,0.539249330440483,"",""
MAPK14_vs_DNTTIP1,3.93461527095262e-14,ARID5B/CFLAR/COL6A1/ENG/HDAC9/KRT10/PDLIM5/PRDX4/RFLNB,14
KIDINS220_vs_DNTTIP1,0.748905696389012,EIF4EBP2/ILF3/IRF2BP2/METRNL/NECTIN2/PCLAF/RBBP4/TYMS/YWHAH,12/15/33
MAP2K1_vs_DNTTIP1,1.66046077734533e-12,G3BP1/GRB2/METAP2/SRPRA/TIPRL/UBE2N,18/41
YEATS4_vs_DNTTIP1,0.0427013779839726,"",""
ATXN7L3_vs_DNTTIP1,7.18435952813409e-16,AC245297-3/ACTN1/ACTR2/AL035446-1/AP3B1/ARPC1B/ASS1/ATP5PO/AURKAIP1/BOLA3/C1orf122/C1orf54/C3orf80/C9orf16/CCDC167/CCDC59/CD47/CDC42EP3/CHMP3/CHMP4A/COL9A2/COPRS/COPS9/COX20/CPD/CYTOR/DDA1/DDX24/DNTTIP2/DYNC1I2/DYNLRB1/EBI3/EIF1B/EIF4G3/ELOA/EPB41L4A-AS1/FAAP20/FAM177A1/FAM49B/FERMT3/FUOM/GARS/GBP3/GHITM/GPATCH2L/GPNMB/H2AFJ/HMGB3/ICOSLG/IFNAR1/IKZF1/IL4I1/IRF2BP2/JAK1/JMJD1C/LASP1/LAT2/LCP2/LGALS9/M6PR/MAP2K2/MED13/MIR4435-2HG/MMADHC/MRPL14/MRPL36/MTSS1/MYL9/MYO1E/NCBP2/NCKAP1L/NCSTN/NDUFA5/NDUFAB1/NDUFB10/NDUFB4/NDUFS6/NECTIN2/NMI/NUMB/OTULIN/PAIP1/PHPT1/PJA2/PLD4/PLXDC2/PNISR/PNP/PNRC2/POLR1D/PPIC/PPP1R18/PSMA1/PSMB8/PSMD14/PTPN1/PTPRC/PXDC1/RAC2/RASSF5/RDX/RELB/RHOC/RNF11/RNF181/RPL26L1/SAP18/SCNM1/SDCBP/SELENOW/SEPT11/SERINC3/SKAP2/SLFN5/SLIRP/SMARCA5/SMCO4/SOCS3/SPATS2L/SPPL2A/SRSF11/STMP1/SUCLG1/SURF4/SUSD6/SWAP70/THAP2/TIMMDC1/TM2D2/TMEM158/TMEM184C/TNIP1/TPM4/TRIP10/TRIP12/TROVE2/TXNL1/UBE2L3/UFD1/UQCR10/UQCRC2/VDAC2/VDAC3/VPS26A/VPS35/WDR26/XBP1/XRCC5,1/2/6/9/12/21/24
AHR_vs_DNTTIP1,4.75694085885427e-09,ACTR3/ARID1B/CCPG1/CMPK1/CNN2/COMT/EBI3/EIF4G3/ELL2/ERBIN/ICOSLG/IER5/IRF2BP2/JAK1/KDM6B/LAT2/LDHB/MED28/MRC2/MSRA/NCKAP1L/NECTIN2/NME4/NUDT14/PAIP1/PBX3/PLIN2/PNP/PPARD/PPP1CB/RASSF5/RBM23/RUNX1/SKAP2/STARD4/SWAP70/UXS1/XBP1/YWHAG/ZC3H12A,3/11/12/13
PRDM1_vs_DNTTIP1,0.516843311801545,EIF4EBP2/ILF3/MRPL57/TYMS/YWHAH,33
TNFAIP3_vs_DNTTIP1,3.41173622976257e-22,AC079466-1/AC245297-3/AL035446-1/AMD1/ANKRD12/ANXA1/ARID1B/ARID5B/ASS1/ATG12/C1orf122/C9orf16/CCDC59/CD47/CFD/CFLAR/CHCHD7/COL6A1/COX20/CPD/CYTOR/DDA1/DDX24/DDX52/DNTTIP2/EBI3/EIF1B/ELOA/ENG/EPB41L4A-AS1/ETHE1/FAAP20/FAM49B/GARS/GPATCH2L/H1FX/H2AFJ/H2AFY/HDAC9/HMGB3/ICOSLG/IFNAR1/IRF2BP2/KRT10/LAT2/LGALS9/MIR4435-2HG/MT-ND6/MYH9/NCKAP1L/NECTIN2/NMI/NPDC1/PAIP1/PDLIM5/PET100/PJA2/PLD4/PLXDC2/PNISR/PNP/PNRC2/POLR1D/PPIC/PRDX4/PSMA1/PTPN1/PTPRC/PUM1/RAC2/RASSF5/RBBP6/RELB/RFLNB/SCNM1/SELENOW/SEPT11/SKAP2/SLFN5/SMARCA5/SMCO4/SNHG9/SNRPN/SPATS2L/SRSF11/STMP1/SUSD6/THAP2/TIMMDC1/TM2D2/TMEM158/TMEM184C/TROVE2/TXNL1/WARS/WDR26/ZFR,1/6/12/14
JUNB_vs_DNTTIP1,0.259310873717045,"",""
TIRAP_vs_DNTTIP1,6.97587213538797e-10,AP2S1/IDH3G/KCTD20/LDHB/NUDT14/RAB5IF/UXS1/YIF1A,11/38
TRIB1_vs_DNTTIP1,2.34979310386029e-18,ANXA1/ATG12/CD47/COMT/FXR1/HMGB3/IFNAR1/KCTD20/LDHB/LGALS9/MSRA/NMI/NUDT14/PFKP/PJA2/PLD4/PSMA1/PTEN/PTPN1/PTPRC/RAC2/SELENOW/SMARCA5/STARD4/STIP1/STMP1/UXS1,4/6/11
PICALM_vs_DNTTIP1,0.000260518725131318,ADAM10/EIF3F/GPSM3/LYRM4/STK10,20
EHMT2_vs_DNTTIP1,1.09708549066152e-07,ASAH1/ATP6V1B2/ATP6V1H/CD82/CHMP3/CYSTM1/DPP7/IRF2BP2/LAT2/M6PR/NCKAP1L/NCSTN/NECTIN2/PAIP1/PLD3/PNP/PSMD1/RAB10/RAB7A/SLC3A2/TGOLN2/TMEM59/VPS26A,2/12
STAT1_vs_DNTTIP1,6.03320310349227e-05,ARF6/DTX3L/HELZ2/IFI16/IST1/MX2/OAS1/OAS3/PARP14/PARP9/PHACTR4/PML/RBCK1/SAMD9/SAMHD1/SP100/SP110/STAT1/TRIM25/TRIM38/UBE2L6/USP18,5/31
RELA_vs_DNTTIP1,2.6244871928408e-09,BNIP3L/CAST/CCAR1/CDK13/CHST11/CNN2/DDAH2/DDX3X/ERBIN/FAM89B/GPNMB/GTF2B/HIVEP3/HMGA2/HSPA9/ICOSLG/IER5/IRF2BP2/LAT2/MED28/NCKAP1L/NECTIN2/NFAT5/PAIP1/PEA15/PHLDA2/PNP/PPARD/PTEN/PTPRJ/RASSF5/SKAP2/STK17A/YWHAG/ZNF622,3/4/7/12/13
TLR1_vs_DNTTIP1,0.0111870882608481,ARHGAP26/CYTH2/GRB2/NUCB1/SIVA1/TIPRL/TYMS/YWHAH,18/33
CEBPG_vs_DNTTIP1,0.141155146729599,"",""
IRAK1_vs_DNTTIP1,2.41539356923462e-13,ANXA4/CAST/CCAR1/CCND1/CDC42SE1/CHST11/CPEB4/DAP/DDAH2/DNAJC3/GDF15/GRB2/GSK3B/HMGA2/IFI27L2/IGF2R/METRNL/NDFIP1/PEA15/PHLDA2/PSD3/RASA1/RPS27L/TIPRL/ZNF622,7/15/18/19
MAP2K2_vs_DNTTIP1,2.94880626666197e-11,ADRM1/AFF4/ARID5B/ATP5ME/BOLA3/CCNI/CD70/CFLAR/CHMP4A/CLEC11A/COL6A1/COPRS/DYNLRB1/EIF2S2/ENG/GDF15/HDAC9/KRT10/MANF/MED13/METRNL/MRPL14/MYH9/NCBP2/NDUFB10/OSGIN2/PDLIM5/PRDX4/PSMB8/QKI/RBBP6/RFLNB/RNF11/SERINC3/SLIRP/SOCS3/SURF4/TYMP/UQCRC2/XRCC5,14/15/24
HSP90B1_vs_DNTTIP1,1.21196733889926e-23,ACOX1/ACTR3/ADAM10/ADAM17/AKR1A1/ARID5B/CD47/CFLAR/CMPK1/CNN2/COL6A1/COMT/EIF2S2/EIF3F/EMC10/ENG/ERBIN/HDAC9/HMGB3/IFNAR1/IST1/KCNQ4/KCTD20/KRT10/LDHB/LGALS9/LYRM4/MRC2/MSRA/MYH9/NME4/NMI/NUDT14/OSBPL8/PDLIM5/PJA2/PLD4/PLIN2/PPP1CB/PRDX4/PSMA1/PTPN1/PTPRC/PUM1/QKI/RAC2/RBBP6/RCN1/RFLNB/SELENOW/SMARCA5/STARD4/STK10/STMP1/TNIP1/TNS3/TPRA1/UXS1/YWHAG/ZC3H12A/ZFAND5,5/6/11/13/14/20
IRAK4_vs_DNTTIP1,4.16816148309802e-14,ACTR3/ADAM17/ARID5B/CD70/CFLAR/CLEC11A/CNN2/COL6A1/ENG/ERBIN/GDF15/GTF2I/HDAC9/IER5/KRT10/MANF/MED28/METRNL/MRC2/MYH9/OSGIN2/PBX3/PDLIM5/PPP1CB/PRDX4/QKI/RFLNB/RUNX1/SATB1/TPRA1/TYMP/YWHAG,3/13/14/15
TRAF6_vs_DNTTIP1,8.6396503642365e-20,ACTR3/ARF6/ARID5B/ARMC9/CCPG1/CDK13/CFLAR/CNN2/COL6A1/CRTAP/DGAT1/DUSP5/ELL2/ELOVL1/EMC10/ENG/ERBIN/ERGIC1/FAM89B/GTF2I/HDAC9/HPCAL1/IER5/KDM6B/KRT10/MED28/MGST3/MIER1/MRC2/MYH9/NCK2/NFAT5/NORAD/OGT/P4HB/PCBP1/PDLIM5/PFDN5/PPARD/PPP1CB/PRDX4/PTEN/PTPN12/PTPRJ/QKI/RBBP6/RCN1/RFLNB/RGS10/RUNX1/RUNX3/SEC31A/SERP1/SERTAD2/TNS3/TPRA1/UBXN4/YBX3/YWHAG,3/4/5/8/13/14
IKBKB_vs_DNTTIP1,1.97980585409593e-15,AP2S1/APEX1/ARF6/ARMC9/AUP1/BLOC1S1/BUD31/CCND1/CCPG1/CD151/CDK13/CREBRF/CTDNEP1/DAP/DDX3X/DUSP5/ECM1/EIF4EBP1/ELL2/EMC6/FKBP8/GLRX3/GTF2B/HIVEP3/HPCAL1/IDH3G/IER5/JPT1/MAGOH/MED28/MFSD12/MRPL18/MRPL47/MRPL52/MRPS15/NFAT5/NSRP1/OGT/P4HB/PPARD/PSMB3/PSMB7/PSMC5/PTEN/PTPRJ/PYCARD/RAB5IF/REX1BD/RGS10/RICTOR/RPS27L/RRP36/SRA1/TAOK3/TMEM208/TOP2A/TRAPPC2L/TRMT112/TXNL4A/UBE2S/VCP/YBX3/YIF1A/ZBTB7A,3/4/5/19/27/32/38
RNF31_vs_DNTTIP1,1.63826714444206e-11,ARID5B/CFLAR/COL6A1/EIF2S2/EMC10/ENG/GRB2/HDAC9/KRT10/MRFAP1/MYH9/NAA20/PDLIM5/PRDX4/QKI/RFLNB/RTF2/TIPRL,14/18/35
MEF2C_vs_DNTTIP1,5.4308452208734e-13,ACTN1/ADAM9/ADGRE5/ANXA1/ARPC1B/ASAH1/ASS1/ATG12/ATP2A2/ATP6V1B2/ATP6V1F/ATP6V1H/CCND1/CCND3/CD109/CD47/CD82/CDC42EP3/CDK13/CFD/CHMP3/CNPY3/COL9A2/COPA/COPB1/COPB2/DAP/DDX3X/DGAT1/DHRS3/DNAJC1/DOT1L/ELOVL1/ELOVL5/ERGIC1/ERGIC3/FKBP8/GPI/HMGB3/HPCAL1/HSD17B12/IFNAR1/KCTD20/LASP1/LDHB/LGALS9/LMAN1/M6PR/MGST3/MTSS1/MYO1E/NABP1/NAPRT/NCK2/NCSTN/NENF/NFAT5/NMI/NPTN/NUMB/OGT/OSBPL8/OTULIN/P4HB/PDXK/PECAM1/PFDN5/PFKL/PJA2/PLD4/PLEKHB2/PPP1R15A/PPP1R18/PSMA1/PTEN/PTP4A2/PTPN1/PTPRJ/PUM1/PXDC1/RAB21/RAC2/RDX/RGS2/RHOC/RICTOR/RPS27L/SCARB2/SCD/SDCBP/SEC11C/SEC31A/SEC61A1/SELENOW/SERP1/SLC3A2/SMARCA5/SNX3/SSR3/STAG2/STARD4/STIP1/STMP1/TAOK3/TGOLN2/TNIP1/TPM4/UBE2B/UBXN4/VCP/VGLL4/VOPP1/VPS13C/VPS26A/YBX3/ZC3H12A,2/4/6/8/9/11/16/17/19
SBDS_vs_DNTTIP1,0.0575442447902767,"",""
CSNK1A1_vs_DNTTIP1,1.20747445977858e-08,G3BP1/METAP2/POLR2F/SRPRA/UBE2N,41
ARPC4_vs_DNTTIP1,5.11866390017069e-11,"",""
PPP2R1A_vs_DNTTIP1,8.63038443048069e-12,ARID5B/C1QBP/CFLAR/COL6A1/EIF2S2/ENG/HDAC9/HSBP1/KRT10/MYH9/PDLIM5/PRDX4/PSMB5/QKI/RFLNB/SRM/TKT,14/34
MIDN_vs_DNTTIP1,6.96692367041727e-11,AFF4/CD70/CLEC11A/EBI3/GDF15/ICOSLG/IKZF1/IRF2BP2/JAK1/LAT2/LCP2/METRNL/NCKAP1L/NECTIN2/PAIP1/PNP/SWAP70/TYMP,12/15
XPR1_vs_DNTTIP1,8.2055029057598e-21,ACTN1/ARID5B/ASAH1/ATP6V1B2/CD47/CDC42EP3/CDK13/CFLAR/COL6A1/DDX3X/DOT1L/EBI3/EIF4G3/ENG/HDAC9/HMGB3/HPCAL1/ICOSLG/IFNAR1/IRF2BP2/JAK1/KRT10/LASP1/LAT2/LGALS9/M6PR/MTSS1/MYH9/MYO1E/NCSTN/NECTIN2/NFAT5/NPTN/NUMB/OGT/P4HB/PAIP1/PDLIM5/PFDN5/PLD4/PNP/PPP1R18/PRDX4/PTEN/PTPN1/PTPRJ/PXDC1/QKI/RAC2/RFLNB/RHOC/SDCBP/SELENOW/SKAP2/SMARCA5/STMP1/SWAP70/TAOK3/TPM4/VCP/VOPP1/VPS26A/ZFAND5,2/4/6/9/12/14
TYK2_vs_DNTTIP1,1.48731499388537e-08,ARID5B/ASAH1/ATP6V1B2/ATP6V1F/ATP6V1H/CD47/CD82/CFLAR/CHMP3/COL6A1/ENG/FCGRT/HDAC9/HMGB3/IFNAR1/KRT10/LGALS9/M6PR/MYH9/NCSTN/NMI/OAS1/PDLIM5/PJA2/PLD4/PRDX4/PSMA1/PTP4A2/PTPN1/RAB7A/RAC2/RFLNB/SELENOW/SLC3A2/SMARCA5/STMP1/VPS26A,2/6/14/31
CYLD_vs_DNTTIP1,1.66837008144552e-06,ADRM1/ASAH1/ATP5ME/ATP5MF/ATP6V1B2/ATP6V1F/ATP6V1H/AURKAIP1/BOLA3/CCDC167/CHCHD10/CHMP4A/COPRS/COPS9/DCTN6/DYNC1I2/DYNLRB1/FUOM/GAMT/GHITM/GRB2/M6PR/MAP2K2/MED13/MRPL14/MRPL36/NCSTN/NDUFAB1/NDUFB10/NDUFB2/NDUFB4/NDUFV1/NHP2/PSMB8/PSMD14/PSME2/PTP4A2/RNF11/SAP18/SERINC3/SF3B5/SLC3A2/SLIRP/SOCS3/SPPL2A/TMEM59/TRIP12/UQCR10/UQCRC2/VDAC3/VPS26A/VPS35/XRCC5,""
ADO_vs_DNTTIP1,2.99332212514076e-05,C1QBP/GADD45GIP1/HSBP1/NDUFAF8/PPP1R14B/SAR1B/SF3B6/SRM/TKT/VMA21,34
PGM3_vs_DNTTIP1,3.79921458808205e-09,AGRN/ARCN1/BRIX1/CACYBP/CCT2/HSPE1/PA2G4/PITPNB/RSL1D1/TMX2/XIAP,36
MAPK1_vs_DNTTIP1,4.59496769976269e-14,ACADVL/ACOX1/ANXA4/APEX1/ARPC5L/BLOC1S1/BNIP3L/BUD31/CHST11/CMPK1/CNN2/CTDNEP1/DDAH2/DNAJC3/EIF4EBP1/EMC6/ERBIN/FMNL3/GRN/HERC1/HMGA2/IGF2R/KCTD20/LDHB/MRPL18/MRPL47/MRPL52/MRPS15/NME4/NUDT14/PEA15/PHLDA2/PLIN2/PSMB3/PSMC5/PTEN/PYCARD/RASA1/SELENOS/SNRPB/SRA1/STK17A/TAF10/TOMM20/TRMT112/TXNL4A/ZC3H12A,4/7/10/11/13/27
TLR2_vs_DNTTIP1,5.80838977683775e-05,BCAS2/CNN2/ERBIN/G3BP1/METAP2/POLR2F/SRPRA/UBE2N,13/41
STK11_vs_DNTTIP1,0.290475245622348,"",""
SEPHS2_vs_DNTTIP1,0.0554555795354795,"",""
STAT2_vs_DNTTIP1,0.00200378414143953,EPSTI1/HELZ2/MX2/OAS1/OAS2/PARP14/PARP9/PHACTR4/PML/PNPT1/RBCK1/RNF213/SAMD9/SAMHD1/SP100/SP110/STAT1/TRIM38/USP18,31
MAP3K7_vs_DNTTIP1,0.000874032276856895,ANP32E/ARMC9/DOCK8/FAM89B/HPCAL1/NCK2/OGT/P4HB/PTEN/PTPRJ/RNF5/TOP2A/UBE2S/VCP/YBX3,4/32
RAB5C_vs_DNTTIP1,8.63841905508824e-17,ASAH1/ATP6AP1/ATP6V1B2/ATP6V1F/ATP6V1H/CD82/CHMP3/DPP7/M6PR/NCSTN/NEU1/PSMD1/PTP4A2/RAB7A/SLC2A6/SLC3A2/SNX6/TGOLN2/VOPP1/VPS26A,2
ALG2_vs_DNTTIP1,0.15176779382952,"",""
MYD88_vs_HSP90B1,3.21730571726462e-34,ABL2/ANKRD11/APBB1IP/ARGLU1/CFLAR/CLIC4/CNN2/EMC10/ENG/GRB2/HDAC9/IL1A/IRF8/ITGAV/ITGB5/KCNQ4/KLF5/KRT10/LAP3/MANF/MED28/METRNL/NORAD/NUCB1/OGFRL1/OSGIN2/PDLIM5/PDLIM7/PPARD/PRDX4/PRKAR2A/QKI/RFLNB/RUNX3/SELENOF/TNFAIP6/TPRA1/TYMP/WASF2/YWHAG/ZFAND5/ZYX,3/13/14/15/18
IKBKG_vs_HSP90B1,7.60295733974296e-33,AKR1A1/AP3B1/ARGLU1/CKLF/FLNA/GTF2I/HEXB/IDO1/IL1A/KDM6B/KLF5/KYNU/LDHB/LPL/MANF/METRNL/MSRA/NME4/OSGIN2/PPARD/RUNX3/SLC16A3/SLC43A3/STARD4/TNFAIP6/TYMP/VKORC1/ZBTB10/ZC3H12A,3/11/15/21
TAB1_vs_HSP90B1,2.72434347197336e-08,"",""
IFNAR1_vs_HSP90B1,2.06726473792314e-30,ASS1/BUB3/CALR/CD14/CD47/CD83/CEBPB/CFD/CHMP5/CKS1B/DOCK8/DTX3L/EBI3/EIF2AK2/EIF4G3/FKBP5/FXR1/GBP2/HELZ2/HMGB2/HNRNPH1/ICOSLG/IFI44/IFIT2/IFNAR1/IKZF1/IL4I1/IRF1/IRF2BP2/JAK1/JPT1/LAT2/LGALS9/LPGAT1/MRPL15/MX2/NCKAP1L/NECTIN2/NFKB1/OASL/PAIP1/PARP9/PHACTR4/PLCG2/PLSCR1/PLXNB2/PNP/PRDX1/PSMA1/PTGER4/PTPN1/PTTG1/PUM1/RAB1A/RAC2/RBM23/RELB/RTN4/SAMHD1/SELENOW/SMC1A/SMC4/SP110/SSBP3/STMP1/SWAP70/TNFRSF9/TNIP1/TOP2A/TRIM25/TRIM38/UBE2L6/XBP1/ZMPSTE24,6/12/31/32
TXNDC17_vs_HSP90B1,0.000313383710376034,"",""
FLI1_vs_HSP90B1,0.0808603291574681,"",""
MAPK14_vs_HSP90B1,1.31447630741733e-10,BCL9L/CACYBP/CDK13/LPGAT1/NOL7/PLXNB2/PTTG1/TOP2A/XIAP,4/32/36
